中国移动营销行来发展报告alink	王大姐，打字细心一点
2014年备考复习时间表，大家可以仔细看看借鉴参考一下	接力棒又到了我们手里。
据说这是拆不散的夫妻标准。不管你信不信，我反正是信了！	很长不过我坚持看完啦
【春晚精彩图片】节目看点之三：一套精彩绝伦的动作表演	哈哈，这个节目太好笑了。支持大家新年快乐，平平安安，身体健康
明早七点半，魔术vs尼克斯。新浪视频咱接着聊:)	云队，你支持哪边？我支持卡特！。
我在地坛书市。真是一片知识的海洋啊！alink	昨天去的，在三联那挤了好长时间！不过收获颇丰。
速度向荒漠延伸——罕见的越野跑车LocalMotorsRallyFighter。	移情别爱到此车啊。！
遇到这种傻逼我只能这么回他！	我越来越中意小互你啦
为了庆祝月全食，我要连吃一个月各种好吃的！	亲王开心不是日食，一日一食……
吟罢低眉无写处，月光如水照缁衣。（鲁迅）	啊喂！这个配图也太微妙了一点吧！
商场里那件不买会死的衣服，穿回家后才发现不过如此。	任何东西包括人都是如此
我认为这是年度最牛逼的段子，没有之一。「转」	也不要当着绝经期老婊子的面说流量。
这款耳机也太拉风了点吧	可这照片里的人也太挫了吧！
不许动，你已经被包围了！把你嘴里的骨头放下！	哎哟。！你们吓到它了好吗！
你好，八月！希望这个月过的好一点！	一切都快点儿过去吧
要飞了，一会见童鞋们	估计要停，打雷啦！暴雨啦！你下来吧！
3.8节，男人和女人的一天……中枪的转。	为了安抚伤心的男同胞，3.9和3.10连续放假两天。
#电影#《狩猎》，不该低估任何一个谎言潜藏的杀伤力。	最近比较关注麦德斯米克尔森，主要是因为新的汉尼拔
晚会马上开始，现场沸腾了！#阿里巴巴集体婚礼#	我看到我师父李龙璋和大龙嫂了！为他们开心！
一只苍蝇都能飞到29楼…你又有什么理由不努力呢！「转」	这是一个拼电梯的时代
据说，现在普通单位和文艺单位都放假了。	2*单位啊。年终奖还木有发。
我圆脸肉多，无聊了还可以揉揉。	我肚子肉，无聊了还可以拍拍。
【北京6岁孩子的幼升小简历让全中国人民不寒而栗！】……	传说中的“郑志学”跳出来了？
一觉醒来大不一样呢。大家，早。	早早早乐观向上的人儿
芙蓉姐姐：今晚看了新闻联播，一如既往的景象「和谐大中国」。	快下台了。这么多暴民。
是时候和朋友面对面了。#微信4.2视频通话版#alink	不好用了，更新后一直在加载，求解释
菠萝啤这种东西，是不是很多人都不知道？	知道且喝过，灰常好喝！
某网友：据说这是iPhone5掉漆真相！	这个漆完全可以掉。掉的很好
不是僵尸粉的话，都来评论下？	来吧来吧。评论下做饭去了！
看完这个视频我楞了一秒钟，结果却笑了我五分钟alink	我就在电话上看，哈哈！
芊墨。浅浅，淡淡，遇见有缘的人。	你是最棒的。！加油。！喜欢你。！
出了，还是免费的…不说了，看图懂了的赶快…alink	这张图片是……哈瓦那和哈特狂暴二人组要出来了啊！
春节谁在三亚？求伙伴N枚！	呦，又相聚三亚啊。
贵国为什么如此热衷抢尸体的游戏？真是奇怪。	活人会说谎，但死人不会。
太贴切了！下午四点办公室的N种状态。你属于哪一种？	有这功夫还不如翘班出去打麻将
最疼我的男人我真的很爱你。（via小凤凤的小图图）	做老豆心中的：不愧是俺女鹅！
全体网民公投:立即废除计划生育政策！	生育权是基本人权，人权岂容政权横加剥夺！
对于这件事，我转发，不评论！	这是作秀给友邦看么
【中国瓷】纤纤捧，冰瓷莹玉，金缕鹧鸪斑。	在网上看到的，还特地买了一块的说，瓷器真心好看
考试的时候，你若侧身，便是晴天。	哈哈哈。很熟悉的动作'
天大的烦恼，也要勇敢面对。	【烦恼皆自寻，无心一世轻】
如果不允许电视台重播任何节目，结果会怎样？	结果是电影频道有新电影看喽
两个本命年过去了，言尤在耳，人已凋零。	噩梦还没醒…………………………………………
重温而不仅仅是感恩。而是要继续向前走。	论坛就一个晚上吗？明天还有吗？
放假去哪玩？健康，惬意，新鲜的空气——雷霆崖欢迎你	我不是牛头银、俺是血精灵、老家银月城！
一生中你唯一需要回头的时候，是为了看自己到底走了多远。	回头，需要么，看一下走过的距离不会长也不会短……
发错发错。是北京工业大学。	哈哈，你也太可爱了吧
「不同工种的人入睡姿势参考」为什么没有作家呢？🛀	每次睡觉都会把头藏起来，所以我是骑士？
你猜你猜你猜猜猜！	哎耀。！变国字脸了！好正宗啊！
过年都吃的比较油腻，来点儿清淡的吧：嫩豌豆配茶油浸鸡枞。	鸡枞还清淡。蘑菇，好贵的
你那里下的雪吗？我这里下的落叶	你哪里下的雪吗？我这里下的阳光
你找到笑点了吗？反正我笑了。	邪恶的标题党，悲剧了那些灌水的
任何一件事情，只要心甘情愿，总是能够变得简单。----《彼岸花》	只要肯花心思什么复杂的事情都会变得简单化
北京首都高老庄国际机场。二师兄来了！	这名字取得也太有才了吧
#微软广东分公司乔迁太古汇#微软(中国)广东分公司员工的一天。	港汇啥时候有这条件啊
新的百家姓排名，看看你的姓排第几位了？	俺们家族计划生育工作没执行到位，邓峰了
萝莉Mackenzie-Foy，《暮光之城4》中扮演爱德华与贝拉的女儿Renesmee！	分享+1更多热门微博：alink
女生最讨厌男生几大装扮，你中了几枪？（转）	混在一起的才叫傻逼
中超演播室偶遇当年国安后场铁闸	为什么直播时候你的眼睛，跟你照片里面的眼睛，这么不一致。
梦里出现的人，醒来时就该去见他，生活就是那么简单。	说的好，楼主不知道什么叫托梦嘛？你去找TA吧
WJ牌照路虎揽胜运动版，就好像是一面镜子。	别吵了，你不把它喂好了咬自己一口怎么办？
你怎么看东莞奖励见义勇为老外5万元？alink	如果是国人见义勇为又被殴打了还能有这种待遇么
所谓大学者，乃出大官之谓也！－－有感于清华百年庆典	原来是祝福，现在是恶心。
朋友送你这个iPhoneCase，你敢带出街么？	怎么装？随身携带都困难
就算你是一个仙人掌，我也愿意忍受所有的疼痛来拥抱你。	有的女人天生性感。
我们觉得，这样的帖子不应该只发在内网。	和名人做小伙伴，压力好大呀
发展过程。节操碎一地啊，美女，敢问你舌头能收回去吗？	他样子太爽喇，太可爱了吧！
你要，象少年一样热烈地爱，象老人一样平静地痛。	你怎么说的这么准确！
你猜，伊瓜因是想射呢？还是想传？	“伊瓜因是前锋是射手所以他这一脚是灵光闪现”
风静了，雨停了，刘翔回来了！	12'97刷新纪录，祝福刘翔！
任务管理器居然都能玩成这样！这不科学alink	仔细一看，英特尔酷睿i7。
【一图看懂美国财政悬崖】alink（腾讯财经）	米国债市折了，咱的复兴大业就算成了吧，昂？
“这张图不管从哪个角度看，枪口始终都是朝向你。”	废话，这是图片，难道你能看到侧面？
暧昧都不持久，互不搭理才是永恒的。	或许这么说，暧昧只是需求，互不搭理才是返璞归真
詹姆斯这突破居然是进攻犯规！裁判？呵呵。	克劳福德火线出场？裁判不甘寂寞啊。
小猫猫，为甚么你不爱我	它公的吧。羡慕嫉妒恨吧
你可以走出房子，但你总要回家。――WitoldRybezynski	走去哪里都得回到这里…心居住的地方！
吐舌头卖萌什么的。你怎么比得过他们？。alink	第三张图里的狗狗是什么品种啊？好可爱
最近状态很不好，我怀疑自己得了抑郁症。	真幸福那。一疑似抑郁。这么多人哄着。
为五四青年节做一福利广告（注：转帖）	不是wifi么？难道这些年我都眼花呢？
很有爱的情侣头像，无水印版哦。喜欢就转走吧！	呼呼，敢不敢陪我一起用哦
擦，什么？女生DOTA笔记。次奥！	很好的微博哥最支持你了
有多少人喜欢吃烤韭菜？	烤韭菜，金针菇，茄子，西兰花，都好好吃啊！
金牛又来了！但愿圣地的金牛能给大家带来吉祥和阳刚！	有水平接地气佩服。
牛人超节约室内空间创意设计，广大蜗居人士必看alink	神！求你！可不可以不要这样啊！大爱呐！
#微热议#弓长惠女未又变成张惠妹了。(图片来自网络)	阿妹。乃是肿么一秒回归张惠妹的。
沉默=避免许多麻烦的方法。微笑=解决许多问题的方法。	学会沉默，学会微笑
粗不去了，快来帮下忙呀。「转」	又是一个卖萌的胖墩
愚昧就是不知道在自然的经验范围之外，还有别的可能性。	大炮好久没上微薄哦
11年前此时的新浪新闻中心首页	貌似我参加过，当年还在万泉庄小学侧楼
今天晚上怎么了，就是睡不着。	每个月就有那么个日子睡不着
315结束了，明天有两件事：停止供暖，实名认证。	听日唔单止把声哑咗，只手都跛埋，拜拜先啦！
金球奖上最落寞的大叔	tommyleejones为什么是这个表情。
哎呀呀！14分钟，厄齐尔的射门偏出！	三个单刀不进小心报应==
刷了好几个小时的手机刷机刷到手抽筋了大家看看能认出几个？	从上往下第五个是小米
再不减肥，你也可能会是这样的。「转」	他身上的豹纹。密集恐惧症啊啊
一句简单的话，多少人不在意啊。请保持车距。	去晚了。在泰华城未见大师，实在失望
#WeAreTheChampion#军功章有我的一半，也有你的一半#迈阿密热火#	都是一帮史诗级的伟大球员！
三国杀各大佬们的本职工作其实是。	哈哈哈哈哈三国杀真相原来是这样的
名字里“轩”的朋友们，你们躺着中枪了。	公众人物，有点不太好吧
奋战结果，今天继续，期待今晚的双十一，求包养，求免单。	多买两瓶啊，下个月去杭州正好喝
汉字太厉害了，看了好久，我承认我中枪了。	啊、、、我才发现啊、。
JUMP八位漫画家画风的「绫波の笑颜」。(富奸笑死我了alink	富奸就是一拉仇恨的。
不行了！这眼神实在是太帅气了！alink	牛哥真是……太。帅。了。！赞！
刚让小米语音助手给我讲了个笑话，然后。alink	呵呵我的投诉没人处理是吧
北京出了道彩虹，微博里刷得跟过年似的。	直导，出彩虹比过年新鲜啊！
新歌录鼓於录音室，鼓手小白、我与家栋老师。	自动转入脑残粉期待模式…
失望只有两种可能：选错了人，或是怀有不该有的期待。	我看成了：选错了人和怀错了娃。
人生总是很累的，你现在不累，以后就会更累。	胖子总是很胖的，你现在不胖，以后就会更胖
